"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Raw50",0.0128379281263716,0.0664090698783835,-0.0754213493514192,-0.0493178802941382,0.0653510223228844,0.0261074876164503,-0.0269260620095394,0.0355390665387237,0.00773695775902735,-0.0655610574982925,0.0713153459919995,-0.00488053665768398,0.0221388923508227,0.0145708622799175,-0.00891832456450515
"Raw51",0.0208820355846791,-0.0124407840432366,-0.000351672907751285,-0.0138215537711067,0.000979066824363118,0.0352997121010124,-0.0380061352709739,-0.0489476019541013,0.0214080939228513,0.0677375691263711,-0.0705465341425987,-0.0708867839038849,0.0432332409665369,0.0410105273716045,-0.0493641820435725
"Raw52",-0.00428044783675361,0.0122571031211603,-0.01262455375378,-0.0384511040788014,0.0248643333248192,0.0167065373877152,-0.016546327455683,0.0453840499068531,-0.0440041753348741,0.0977437042934385,-0.0902746808531618,-0.0748925447397517,0.0557430763495782,-0.0233072655115903,0.0230392027841637
"Raw53",-0.00135377482492982,-0.0368835509095202,0.017317703154095,0.0176151881940044,-0.0296584802277406,0.00905967457651104,-0.0111363956403513,0.0073215860124914,0.00625977710399736,0.0418072820417273,-0.0829309725422853,-0.0921694085534135,0.0963763703579201,0.0253548887021255,-0.0381578514701335
"Raw54",0.00488698149518748,0.0410720485937317,-0.0452991018921743,-0.0197349343212571,0.0121898772243319,-0.0233219915288502,0.0226817851863849,-0.0420818638427909,0.0249700803638657,0.0269835046794459,-0.0498628313779891,-0.0451511955340478,0.0359089434137713,0.0344324809771637,-0.0327219521271923
"Raw55",0.0361234281628769,0.028753492597596,-0.0254588425591839,-0.00464915967640688,-0.00236958138479312,-0.0440692090382975,0.0390055872273739,-0.11975521545838,0.096477620152769,0.0576929894070478,-0.0423448952741695,-0.0217877677632029,-0.005065930489756,0.0288923685405037,-0.0492715032985027
"Raw56",0.0250360598906966,0.051575782755636,-0.0694371378108536,0.0406391702720247,-0.0337019348430385,0.075580526025046,-0.0744393319016705,0.026534700818424,-0.000445577592049109,-0.0338430998221281,0.0281680588199373,0.0373646386049936,-0.0480580382393297,0.0328297545807117,-0.0177371273446889
"Raw57",0.0804523800762383,0.022824201222382,-0.00649731307528285,-0.00524881778804003,0.00824729608951567,0.0247926990151488,-0.0238335722742588,-0.0486981037322323,0.016052707900824,-0.0135763713338446,0.0346581570452651,-0.00105778660048219,-0.000813907792503894,-0.0400874271992956,0.0306875951379583
"Raw58",0.0439143651598477,-0.0122456672934708,0.0159595896321182,0.0137956366371062,-0.0149373135015304,-0.0129054001505235,0.0111254471430129,-0.0224614185626077,0.0286984242668723,0.00478488743930021,-0.00976250630903339,-0.000575781372286137,0.0101121330930876,0.0198408063041741,-0.0373249642590727
"Raw59",0.0382013597122363,0.0700480904775835,-0.0647315495354447,-0.0329344474005968,0.0352093992842292,0.027684105729012,-0.0233245406976927,0.0331315719912786,-0.00286102761970803,0.056308488238212,-0.00834205037856746,-0.0502794807941958,0.071481733422077,-0.0416232865906713,0.0626503643713653
"Raw60",0.0267986619015924,-0.0652636057190127,0.0656687831641102,0.0856731185216257,-0.0903623675054661,-0.0351568821729007,0.0403123762906592,-0.00689914555805994,0.00955287476021555,-0.0041107302965901,-0.0215279156193036,0.0434076653086121,-0.00910854043879918,0.0398857030595939,-0.0249481739908054
"Raw61",0.0707979499793375,-0.025553495372669,0.0378451109396567,0.0399732389783876,-0.0359016610470675,0.00416579676651808,-0.00172124188802498,-0.0252803025750596,0.0661606622888726,-0.0121703882587089,0.00901012748835187,0.021860674580187,0.0033866376456643,-0.00998345797810792,0.00406836195636308
"Raw62",0.0307411583313587,-0.00788701925751678,0.00119816380688637,-0.0301881608841697,0.0304776747978509,0.0228258031985836,-0.0235671355453632,0.066401767862714,-0.0432104046143171,0.00366012891069737,-0.00876101375149975,-0.0490853415476798,0.0507666732802533,0.037790151092496,-0.0448152466887974
"Raw63",0.0487533425369477,-0.0205346955776882,0.0255298578832665,0.0176209202573157,-0.0168570310869906,0.0242846245571021,-0.022385228396049,0.0095492760561691,-0.00837702725894853,0.00430157208539019,0.0150571052547905,-0.0175956111066323,0.0248003368516513,0.0387988786560133,-0.0357933404802154
"Raw64",0.0553485805644829,-0.00297444084114148,0.00582881300981707,-0.0339185032969722,0.0417948811741168,-0.00236386637803394,0.00120296048795644,0.0293725684235925,-0.0221222569981454,-0.0543860958571276,0.0463551410060332,-0.0684833956902642,0.0692627218751344,0.0610797571128053,-0.0680916364222855
"Raw65",0.0251103092596843,-0.00924789999642904,-0.00911179430255196,0.0446620611910083,-0.0442939961177099,0.0968267244895346,-0.0988557939273657,-0.0293234356570693,0.0361467164596218,-0.000932458174912699,0.0024674187400855,-0.0286471016341576,0.0461432703385338,-0.0688236566955425,0.0590560599835574
